TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    32       1   3.10725112e-02   5.67736590e+00  
    32       2   3.59741912e-04   6.58749237e-01  
    32       3   2.58261566e-05   7.06315419e-02  
    32       4   1.77358559e-06   1.36167312e-03  
    33       1   3.03031903e-02   5.99051719e+00  
    33       2   3.78289485e-04   9.06193588e-01  
    33       3   2.30079942e-05   4.50635928e-02  
    33       4   2.25274663e-06   1.73153963e-03  
    34       1   2.95094772e-02   5.82890079e+00  
    34       2   3.88627151e-04   8.66128837e-01  
    34       3   2.05602963e-05   3.63987590e-02  
    34       4   1.40734510e-06   9.32042581e-04  
    35       1   2.84282960e-02   6.01700735e+00  
    35       2   3.74334454e-04   1.01713424e+00  
    35       3   1.56186818e-05   3.65378510e-02  
    35       4   1.41951428e-06   1.41254063e-03  
    36       1   2.82868001e-02   5.97088255e+00  
    36       2   3.55627829e-04   7.30298448e-01  
    36       3   9.98013838e-06   7.25264563e-02  
    36       4   9.98305739e-07   1.25204941e-03  
    37       1   2.73374549e-02   5.98713368e+00  
    37       2   2.39949850e-04   7.96834152e-01  
    37       3   1.97960991e-05   3.03196922e-02  
    37       4   8.34038322e-07   3.80815762e-04  
    38       1   2.67703044e-02   6.04603383e+00  
    38       2   3.06979324e-04   7.26864642e-01  
    38       3   1.54544039e-05   5.52042137e-02  
    38       4   6.10472998e-07   2.59584934e-03  
    39       1   2.62712412e-02   6.00959841e+00  
    39       2   1.47097964e-04   8.35111835e-01  
    39       3   7.29867054e-06   6.49069344e-02  
    39       4   5.58531630e-07   3.09302863e-04  
    40       1   2.50329792e-02   6.00565722e+00  
    40       2   1.86644256e-04   8.28317861e-01  
    40       3   1.53609361e-05   8.99917782e-02  
    40       4   1.49804588e-06   3.49625653e-03  
    41       1   2.50146826e-02   5.94628720e+00  
    41       2   1.90088293e-04   8.39202567e-01  
    41       3   5.56420097e-06   8.63019469e-03  
    41       4   1.17221857e-06   1.32473718e-03  
    42       1   2.46785846e-02   5.80065975e+00  
    42       2   1.85800043e-04   6.47129762e-01  
