TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
   343    1460       4       1      43       0       2  
   344    1463       3       1      42       0       3  
   345    1466       3       1      41       0       3  
   346    1469       3       1      40       0       3  
   347    1473       4       1      40       0       3  
   348    1477       4       1      40       0       3  
   349    1481       4       1      40       1       2  
   350    1485       4       1      41       1       1  
   351    1488       3       1      40       0       3  
   352    1491       3       1      39       0       3  
   353    1494       3       1      38       1       2  
   354    1498       4       1      38       0       3  
   355    1502       4       1      38       1       2  
   356    1506       4       1      38       1       2  
   357    1510       4       1      39       0       2  
   358    1514       4       1      38       2       2  
   359    1517       3       1      39       0       1  
   360    1521       4       1      39       1       2  
   361    1524       3       1      40       0       1  
   362    1527       3       1      38       1       3  
   363    1530       3       1      37       0       3  
   364    1534       4       1      37       0       3  
   365    1537       3       1      37       0       2  
   366    1541       4       1      38       0       2  
   367    1545       4       1      38       1       2  
   368    1549       4       1      39       1       1  
   369    1552       3       1      39       0       2  
   370    1557       5       1      40       1       2  
   371    1563       6       1      42       0       3  
   372    1569       6       1      44       0       3  
   373    1573       4       1      44       0       3  
   374    1577       4       1      45       0       2  
   375    1582       5       1      45       2       2  
   376    1588       6       1      47       1       2  
   377    1593       5       1      50       0       1  
   378    1598       5       1      50       1       3  
   379    1603       5       1      50       2       2  
   380    1607       4       1      50       0       3  
   381    1612       5       1      50       0       4  
   382    1617       5       1      50       0       4  
   383    1622       5       1      50       0       4  
   384    1627       5       1      50       0       4  
   385    1632       5       1      50       0       4  
   386    1636       4       1      50       0       3  
   387    1640       4       1      50       0       3  
   388    1644       4       1      50       0       3  
   389    1648       4       1      50       1       2  
   390    1652       4       1      50       1       2  
   391    1656       4       1      50       0       3  
   392    1660       4       1      50       1       2  
   393    1664       4       1      49       0       4  
   394    1668       4       1      49       0       3  
   395    1671       3       1      48       1       2  
   396    1675       4       1      46       1       4  
   397    1679       4       1      45       1       3  
   398    1683       4       1      45       0       3  
   399    1687       4       1      44       0       4  
   400    1691       4       1      43       1       3  
   401    1694       3       1      42       0       3  
   402    1698       4       1      42       0       3  
   403    1702       4       1      42       1       2  
   404    1706       4       1      42       0       3  
   405    1710       4       1      43       0       2  
   406    1714       4       1      43       0       3  
   407    1718       4       1      43       0       3  
   408    1722       4       1      43       0       3  
   409    1725       3       1      42       0       3  
